Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Manor Solomon,Left Winger,25,EUR13.00m,Israel,Leeds,Championship,loan transfer
Alex Moreno,Left-Back,31,EUR13.00m,Spain,Nottm Forest,Premier League,loan transfer
Trevoh Chalobah,Centre-Back,25,EUR13.00m,England,Crystal Palace,Premier League,loan transfer
Samuel Iling-Junior,Left Winger,20,EUR13.00m,England,Bologna,Serie A,loan transfer
Arnaut Danjuma,Left Winger,27,EUR13.00m,Netherlands,Girona,LaLiga,loan transfer
Sepp van den Berg,Centre-Back,22,EUR12.00m,Netherlands,Brentford,Premier League,EUR23.60m
Jake O'Brien,Centre-Back,23,EUR12.00m,Ireland,Everton,Premier League,EUR19.50m
Ibrahim Osman,Left Winger,19,EUR12.00m,Ghana,Brighton,Premier League,EUR19.50m
Adam Hlozek,Second Striker,22,EUR12.00m,Czech Republic,TSG Hoffenheim,Bundesliga,EUR18.00m
Logan Costa,Centre-Back,23,EUR12.00m,Cape Verde,Villarreal,LaLiga,EUR18.00m
Mike Tresor,Left Winger,25,EUR12.00m,Belgium,Burnley,Championship,EUR18.00m
Rodrigo Gomes,Right Midfield,20,EUR12.00m,Portugal,Wolves,Premier League,EUR15.00m
Kamil Grabara,Goalkeeper,25,EUR12.00m,Poland,VfL Wolfsburg,Bundesliga,EUR13.50m
Bryan Zaragoza,Left Winger,22,EUR12.00m,Spain,Bayern Munich,Bundesliga,EUR13.00m
Albert Gronbaek,Central Midfield,23,EUR12.00m,Denmark,Stade Rennais,Ligue 1,EUR15.00m
Can Uzun,Attacking Midfield,18,EUR12.00m,Türkiye,E. Frankfurt,Bundesliga,EUR11.00m
David Carmo,Centre-Back,25,EUR12.00m,Angola,Nottm Forest,Premier League,EUR11.00m
Mauricio,Attacking Midfield,23,EUR12.00m,Brazil,Palmeiras,Serie A,EUR10.50m
Alexander Prass,Left Midfield,23,EUR12.00m,Austria,TSG Hoffenheim,Bundesliga,EUR9.50m
Ameen Al-Dakhil,Centre-Back,22,EUR12.00m,Belgium,VfB Stuttgart,Bundesliga,EUR9.00m
Abel Ruiz,Centre-Forward,24,EUR12.00m,Spain,Girona,LaLiga,EUR9.00m
Koni De Winter,Centre-Back,22,EUR12.00m,Belgium,Genoa,Serie A,EUR8.00m
Lorenzo Lucca,Centre-Forward,23,EUR12.00m,Italy,Udinese Calcio,Serie A,EUR8.00m
Yukinari Sugawara,Right-Back,24,EUR12.00m,Japan,Southampton,Premier League,EUR7.00m
Jota Silva,Left Winger,25,EUR12.00m,Portugal,Nottm Forest,Premier League,EUR7.00m
Emil Holm,Right-Back,24,EUR12.00m,Sweden,Bologna,Serie A,EUR7.00m
Eren Dinkci,Right Winger,22,EUR12.00m,Türkiye,SC Freiburg,Bundesliga,EUR5.00m
Jonathan Clauss,Right-Back,31,EUR12.00m,France,OGC Nice,Ligue 1,EUR5.00m
Natan,Centre-Back,23,EUR12.00m,Brazil,Real Betis,LaLiga,Loan fee:EUR1.00m
Neal Maupay,Centre-Forward,28,EUR12.00m,France,Marseille,Ligue 1,Loan fee:EUR500k
Azzedine Ounahi,Central Midfield,24,EUR12.00m,Morocco,Panathinaikos,Super League 1,Loan fee:EUR500k
Robin Gosens,Left Midfield,30,EUR12.00m,Germany,Fiorentina,Serie A,Loan fee:EUR500k
Bryan Zaragoza,Left Winger,22,EUR12.00m,Spain,CA Osasuna,LaLiga,Loan fee:EUR250k
